,practica,responsabilidad,gestion,equipo,ingenieria,informacion,industrial,office,excel,diseno,analisis
0,contabilidad,1,0,0,0,0,0,0,0,0,0
1,administracion,1,0,0,0,0,0,0,0,0,0
2,administracion,1,0,0,0,0,0,1,1,0,0
4,contabilidad,1,0,0,0,0,0,1,1,0,0
6,derecho,1,0,1,0,0,0,0,0,0,0
7,contabilidad,1,0,1,0,0,0,0,0,0,0
8,ingenieria,1,1,1,1,1,1,0,1,0,0
9,contabilidad,1,0,0,0,0,0,1,0,0,0
10,derecho,1,1,0,0,0,0,1,0,0,0
12,comunicaciones,1,0,1,0,0,0,0,0,1,0
13,contabilidad,1,0,0,0,0,0,0,0,0,0
14,comercial,1,1,0,1,1,1,0,1,0,1
15,ingenieria,1,0,0,0,0,1,0,1,0,0
16,comercial,1,0,0,1,0,1,1,1,0,0
17,comercial,1,0,1,0,1,1,1,0,0,0
18,economia,1,1,1,1,1,1,0,1,0,1
19,comercial,1,1,0,1,1,1,0,1,0,1
20,ingenieria,1,0,1,1,1,0,0,0,0,0
22,contabilidad,1,0,1,0,1,0,1,1,0,1
23,derecho,1,1,0,0,0,0,0,0,0,1
24,comercial,1,1,0,1,0,1,0,1,0,0
25,comercial,1,1,0,1,0,1,0,1,0,1
26,marketing,1,0,0,0,0,0,0,0,0,0
27,marketing,1,0,0,0,0,0,0,0,0,0
29,derecho,1,0,0,0,0,0,0,1,0,0
30,derecho,1,0,0,0,0,0,0,1,0,0
31,contabilidad,1,0,0,0,0,0,0,0,0,0
33,contabilidad,1,0,0,0,0,0,0,1,0,0
34,mantenimiento,1,1,1,1,0,1,1,0,0,0
36,contabilidad,1,0,0,0,0,0,0,0,0,0
37,marketing,1,0,0,0,0,0,0,0,0,0
38,marketing,1,0,0,0,0,0,0,0,0,0
39,derecho,1,0,1,0,0,0,0,0,0,0
40,marketing,1,0,0,0,0,0,0,0,0,0
41,ingenieria,1,0,0,1,0,1,0,1,0,0
42,ingenieria,1,0,0,1,0,1,0,1,0,0
43,ingenieria,1,0,0,1,0,1,0,1,0,0
44,medicina,1,0,0,0,0,0,1,0,0,0
45,arquitectura,1,0,0,0,0,0,0,1,0,0
46,marketing,1,0,0,0,0,0,0,1,0,0
48,contabilidad,1,0,0,0,0,0,1,0,0,0
49,contabilidad,1,0,0,0,0,0,1,0,0,0
50,contabilidad,1,0,0,0,0,0,1,0,0,0
51,contabilidad,1,1,0,0,1,1,0,1,0,0
52,contabilidad,1,0,0,1,1,1,0,1,0,0
53,ingenieria,1,0,0,0,1,1,0,1,0,0
55,derecho,1,0,0,0,0,0,0,0,0,0
56,psicologia,1,0,0,0,0,0,1,0,0,0
57,ingenieria,1,1,0,1,0,0,0,0,0,0
58,ingenieria,1,1,0,1,0,0,0,0,0,0
59,ingenieria,1,1,0,1,0,0,0,0,0,0
60,contabilidad,1,0,0,0,0,0,1,0,0,0
61,contabilidad,1,0,0,0,0,0,1,0,0,0
62,administracion,1,0,0,0,0,0,1,0,0,0
63,administracion,1,0,0,0,0,0,1,0,0,0
64,derecho,1,0,0,0,0,1,0,0,0,0
65,contabilidad,1,0,0,0,0,0,1,0,0,0
66,marketing,1,0,0,0,1,0,0,0,0,0
67,economia,1,0,0,0,0,0,0,1,0,0
69,marketing,1,0,0,0,0,0,0,0,0,0
70,sistemas,1,0,0,0,1,0,0,0,0,0
71,sistemas,1,0,0,0,1,0,0,0,0,0
72,ingenieria,1,0,0,1,0,1,0,0,0,0
73,ingenieria,1,0,0,1,0,1,0,0,0,0
74,ingenieria,1,0,0,1,0,1,0,0,0,0
76,derecho,1,1,0,0,0,0,0,0,0,0
77,ingenieria,1,0,0,1,0,1,0,1,0,0
78,contabilidad,1,0,0,0,0,0,0,1,0,0
79,contabilidad,1,0,0,0,0,0,0,1,0,0
80,diseno,1,0,0,0,0,0,0,0,1,0
81,ingenieria,1,1,1,1,1,1,1,1,1,1
82,ingenieria,1,1,1,1,1,1,1,1,1,1
83,ingenieria,1,1,1,1,1,1,1,1,1,1
84,psicologia,1,0,0,0,1,1,1,1,0,0
86,ingenieria,1,0,0,0,1,1,0,0,0,0
87,finanzas,1,0,0,0,0,1,0,1,0,0
88,derecho,1,0,0,0,1,0,0,0,0,0
89,ingenieria,1,0,0,0,1,1,0,1,0,0
90,ingenieria,1,0,0,1,1,1,1,1,0,0
91,comercial,1,0,0,0,0,0,1,0,0,1
92,contabilidad,1,0,1,0,1,0,1,1,0,0
93,contabilidad,1,0,0,0,0,0,0,1,0,0
94,derecho,1,1,0,0,1,0,1,0,0,1
95,arquitectura,1,0,0,0,1,0,1,0,0,0
96,diseno,1,0,0,0,0,0,0,0,1,0
97,marketing,1,0,1,0,0,0,1,0,1,0
98,diseno,1,0,1,0,0,0,0,0,1,0
99,ingenieria,1,0,0,1,0,0,1,1,0,0
100,ingenieria,1,0,0,1,0,0,1,1,0,0
101,ingenieria,1,0,0,1,0,1,0,1,0,0
102,ingenieria,1,0,0,1,0,1,0,1,0,0
103,ingenieria,1,0,0,1,0,1,0,1,0,0
104,sistemas,1,0,1,1,1,0,1,0,0,0
105,ingenieria,1,0,0,0,0,1,0,1,0,0
106,comunicaciones,1,1,0,0,0,0,0,0,1,0
107,contabilidad,1,0,0,0,0,0,0,1,0,0
108,comunicaciones,1,0,0,0,0,0,0,0,0,0
110,derecho,1,0,0,1,1,1,0,1,0,0
111,marketing,1,0,0,1,0,0,0,1,0,0
112,administracion,1,0,0,1,0,1,1,1,0,0
114,ingenieria,1,0,0,1,1,0,0,0,0,1
115,sistemas,1,0,0,1,1,0,0,1,0,0
116,psicologia,1,0,0,0,0,0,0,0,0,0
117,ingenieria,1,0,0,0,0,1,0,1,0,0
118,sistemas,1,0,0,0,1,0,1,0,0,0
119,ingenieria,1,0,0,0,0,1,0,1,0,0
120,sistemas,1,0,0,0,0,0,0,0,0,0
121,ingenieria,1,0,0,0,0,0,0,0,1,1
122,sistemas,1,0,1,1,1,0,1,1,1,0
123,sistemas,1,0,1,1,1,0,1,1,1,0
124,sistemas,1,0,1,1,1,0,1,1,1,0
125,psicologia,1,0,0,0,0,0,1,0,0,0
126,marketing,1,0,1,0,1,1,0,1,1,1
127,derecho,1,0,0,1,0,1,0,1,0,0
128,comercial,1,0,0,1,1,1,0,1,0,0
129,contabilidad,1,0,0,0,0,0,1,0,0,1
130,sistemas,1,0,1,1,1,0,0,0,1,1
131,ingenieria,1,0,0,1,0,0,1,0,0,0
132,sistemas,1,0,1,1,1,0,0,0,1,1
133,diseno,1,0,0,0,0,0,0,0,1,0
134,derecho,1,0,0,0,0,0,0,0,0,0
135,mantenimiento,1,0,0,0,0,0,0,0,0,0
136,contabilidad,1,0,0,0,1,0,0,0,0,0
137,marketing,1,0,0,0,0,0,0,0,1,0
138,finanzas,1,0,0,0,0,0,0,1,0,0
139,sistemas,1,0,0,1,1,0,0,0,0,0
140,contabilidad,1,0,0,0,0,0,0,0,0,0
141,derecho,1,0,1,0,0,0,1,0,0,0
142,psicologia,1,1,0,0,1,0,0,0,0,0
143,psicologia,1,0,0,1,1,1,0,1,0,0
145,ingenieria,1,0,0,0,1,0,0,1,0,0
146,contabilidad,1,0,1,0,1,0,0,1,0,1
147,marketing,1,0,1,0,0,0,0,0,1,0
149,sistemas,1,0,0,0,0,0,0,0,0,0
150,ingenieria,1,0,1,0,0,1,0,1,0,1
151,ingenieria,1,1,0,1,0,1,0,1,0,0
152,ingenieria,1,1,0,1,1,1,0,1,0,0
153,psicologia,1,1,0,0,0,0,0,0,0,0
154,comercial,1,0,0,0,0,0,0,0,0,0
155,ingenieria,1,0,0,0,0,1,0,1,0,0
156,ingenieria,1,1,1,1,1,1,1,1,0,0
157,psicologia,1,1,1,0,1,0,0,1,0,1
158,finanzas,1,0,0,1,1,1,0,1,0,1
159,contabilidad,1,0,1,0,0,0,1,0,0,0
160,ingenieria,1,0,0,1,0,1,1,1,0,0
161,sistemas,1,0,0,0,0,0,0,0,0,0
162,derecho,1,0,1,0,0,1,0,0,0,0
163,psicologia,1,0,0,0,0,0,0,1,0,0
164,finanzas,1,0,0,1,0,0,1,1,0,0
165,ingenieria,1,0,0,0,0,1,0,0,0,0
166,derecho,1,0,0,0,0,0,1,0,0,0
167,contabilidad,1,0,0,0,0,0,0,1,0,0
168,ingenieria,1,0,0,1,0,1,0,1,0,0
169,diseno,1,0,0,0,0,0,0,0,1,0
170,contabilidad,1,1,0,0,0,0,0,0,0,0
171,sistemas,1,0,0,1,1,0,0,0,0,0
172,diseno,1,0,0,0,0,0,0,0,1,0
173,mantenimiento,1,0,1,0,0,0,1,0,0,0
175,marketing,1,1,1,1,1,1,0,1,0,1
176,comunicaciones,1,0,0,0,0,0,0,0,1,0
177,comercial,1,1,0,0,1,1,1,1,0,0
178,administracion,1,1,1,0,0,0,1,0,0,0
179,ingenieria,1,0,0,1,1,1,1,1,0,0
180,ingenieria,1,0,0,1,1,1,1,1,0,0
181,ingenieria,1,0,0,1,1,1,1,1,0,0
182,sistemas,1,0,1,0,0,0,0,0,0,0
183,sistemas,1,0,1,0,0,0,0,0,0,0
184,sistemas,1,0,1,0,0,0,0,0,0,0
185,sistemas,1,0,1,0,0,0,0,0,0,0
186,psicologia,1,1,0,0,0,0,0,0,0,0
187,psicologia,1,1,0,0,0,0,0,0,0,0
188,ingenieria,1,0,0,0,1,0,0,0,0,0
189,ingenieria,1,0,0,0,1,0,0,0,0,0
190,administracion,1,1,0,1,0,1,0,1,0,0
191,psicologia,1,0,0,0,0,0,0,0,0,0
192,comunicaciones,1,0,0,0,1,0,0,1,0,0
193,ventas,1,0,0,0,0,0,0,1,0,0
194,administracion,1,0,0,0,0,1,0,0,0,0
195,administracion,1,0,0,1,0,1,0,1,0,0
196,ingenieria,1,0,0,1,1,1,0,1,0,1
197,finanzas,1,0,1,0,0,0,0,1,0,0
198,ingenieria,1,0,0,0,1,0,0,1,0,0
199,finanzas,1,0,0,0,0,0,1,1,0,1
200,ingenieria,1,0,1,1,0,1,0,0,0,0
201,ingenieria,1,0,1,0,0,1,0,0,0,0
202,diseno,1,0,0,0,0,0,1,0,1,0
203,marketing,1,0,0,0,1,0,1,0,0,0
204,marketing,1,0,0,0,0,0,0,0,1,0
205,mantenimiento,1,0,1,0,0,1,0,0,0,0
206,sistemas,1,0,1,0,1,0,0,0,0,0
208,administracion,1,1,0,1,0,1,0,1,0,0
209,ingenieria,1,0,0,1,0,0,0,1,0,0
210,psicologia,1,0,0,1,0,1,0,1,0,0
212,marketing,1,0,0,0,0,0,0,0,1,0
214,marketing,1,0,1,0,1,0,0,1,0,0
215,comunicaciones,1,0,0,1,1,0,1,1,0,1
216,contabilidad,1,0,0,0,0,0,1,0,0,0
217,administracion,1,0,0,0,0,0,1,0,0,0
218,ingenieria,1,0,0,0,0,0,0,0,0,0
220,administracion,1,1,1,0,0,0,1,1,0,0
221,contabilidad,1,0,0,0,0,0,1,0,0,0
222,ingenieria,1,0,1,1,1,0,0,0,0,1
223,sistemas,1,0,0,0,0,0,0,0,0,0
224,psicologia,1,0,0,0,0,0,0,0,0,0
225,marketing,1,0,0,0,0,0,1,0,1,0
226,contabilidad,1,1,1,0,0,0,1,1,0,0
227,contabilidad,1,1,1,0,0,0,1,1,0,0
228,contabilidad,1,1,1,0,0,0,1,1,0,0
229,sistemas,1,0,1,0,0,0,0,0,0,0
231,sistemas,1,1,1,1,1,0,0,1,0,1
233,sistemas,1,1,1,1,1,0,0,1,0,1
234,ingenieria,1,1,0,0,0,0,0,1,0,0
235,contabilidad,1,0,0,0,0,0,0,1,0,0
236,ingenieria,1,0,1,1,1,1,1,0,1,0
237,administracion,1,1,1,0,0,0,1,0,0,0
238,finanzas,1,0,0,0,0,0,0,1,0,1
240,administracion,1,1,1,0,1,1,0,1,0,1
241,psicologia,1,0,0,0,0,0,0,0,0,0
242,contabilidad,1,0,0,0,1,0,0,0,0,0
243,ingenieria,1,1,0,0,1,1,1,0,0,0
244,comercial,1,0,0,1,1,1,1,0,0,0
245,marketing,1,1,0,0,1,0,0,0,1,0
246,sistemas,1,0,1,1,1,0,1,1,0,0
247,ingenieria,1,1,1,0,1,1,0,0,0,0
248,psicologia,1,1,0,1,0,1,0,1,0,1
249,ingenieria,1,0,0,1,0,1,1,1,0,0
250,marketing,1,0,0,1,1,1,0,1,0,0
251,comercial,1,1,0,0,1,1,0,1,0,0
252,ingenieria,1,1,0,1,0,1,0,1,0,0
253,mantenimiento,1,0,1,0,1,1,1,0,0,0
254,contabilidad,1,1,1,0,0,0,0,0,0,0
255,finanzas,1,0,0,0,1,1,1,0,0,0
256,ingenieria,1,0,0,0,1,0,0,0,0,0
257,ventas,1,0,0,0,1,1,0,1,0,0
258,ingenieria,1,0,0,1,0,0,0,1,0,0
259,ingenieria,1,0,0,0,1,0,0,0,0,0
260,contabilidad,1,0,1,0,0,0,0,1,0,1
261,ingenieria,1,1,1,1,0,1,0,1,0,0
262,psicologia,1,1,0,1,0,1,1,0,0,0
263,psicologia,1,1,0,1,0,1,1,0,0,0
264,ingenieria,1,0,1,0,0,0,1,1,0,0
265,ingenieria,1,0,1,0,0,0,1,1,0,0
266,ingenieria,1,0,0,1,1,0,0,0,0,0
267,ingenieria,1,0,0,1,1,0,0,0,0,0
268,economia,1,0,0,0,0,1,0,1,0,0
269,economia,1,0,0,0,0,1,0,1,0,0
270,economia,1,0,0,0,0,1,0,1,0,0
271,ingenieria,1,0,0,0,0,0,1,1,0,0
272,ingenieria,1,0,0,0,0,0,1,1,0,0
273,derecho,1,0,1,0,1,0,0,0,0,0
274,sistemas,1,0,1,1,1,0,1,0,0,0
276,sistemas,1,0,0,0,1,0,1,1,0,1
277,derecho,1,0,0,0,1,0,0,1,0,1
278,ingenieria,1,0,0,1,1,1,0,1,0,0
279,contabilidad,1,0,1,0,0,0,0,0,0,0
280,comunicaciones,1,0,0,0,1,0,0,0,1,0
281,marketing,1,0,0,0,0,0,0,1,0,0
282,diseno,1,0,0,0,0,0,0,1,1,0
283,comercial,1,0,1,0,0,1,1,1,0,0
284,contabilidad,1,0,1,0,0,0,0,0,0,0
285,marketing,1,0,0,0,1,0,0,0,0,1
286,administracion,1,1,0,1,0,1,0,1,1,0
287,ingenieria,1,0,0,1,0,1,0,1,0,0
288,psicologia,1,0,0,0,0,1,1,0,0,0
289,derecho,1,0,0,0,0,0,0,0,0,0
290,ingenieria,1,0,0,0,0,1,0,0,0,0
291,comunicaciones,1,1,0,0,1,1,0,0,0,0
292,comercial,1,1,1,1,0,1,0,1,0,0
294,contabilidad,1,0,1,0,0,0,0,0,0,1
295,administracion,1,1,0,1,0,1,0,1,1,0
296,mantenimiento,1,0,1,0,1,0,0,1,0,0
297,ingenieria,1,0,0,1,1,1,1,0,1,0
298,psicologia,1,1,0,0,0,0,1,0,0,0
299,contabilidad,1,0,0,1,1,1,1,0,0,0
300,arquitectura,1,0,1,0,0,0,0,0,0,0
301,ingenieria,1,0,1,1,1,0,0,1,0,0
302,psicologia,1,1,0,1,0,1,1,0,0,0
303,contabilidad,1,0,1,1,1,1,0,1,0,0
304,contabilidad,1,0,0,0,0,0,1,0,0,0
305,ingenieria,1,1,0,0,0,1,0,0,0,0
306,sistemas,1,0,0,0,1,0,1,1,0,1
307,administracion,1,0,1,1,1,1,0,0,0,0
308,comercial,1,1,0,0,1,1,1,1,0,0
309,ingenieria,1,0,1,1,1,1,1,0,0,0
311,diseno,1,1,0,0,0,0,0,0,1,0
312,contabilidad,1,0,1,0,0,0,0,1,0,1
313,ingenieria,1,0,0,0,0,1,1,0,0,0
314,contabilidad,1,0,0,0,0,0,0,0,0,0
315,mantenimiento,1,0,1,0,0,1,0,0,0,0
316,comercial,1,0,0,0,0,1,0,1,0,1
317,administracion,1,0,0,0,0,0,1,0,0,0
318,sistemas,1,0,1,0,1,0,0,0,0,1
319,ingenieria,1,0,0,0,0,1,0,1,0,0
320,ingenieria,1,0,0,0,0,1,0,1,0,0
321,ingenieria,1,0,0,0,0,1,0,1,0,0
322,finanzas,1,0,1,0,0,0,0,0,0,0
323,sistemas,1,0,1,1,0,0,0,0,0,0
324,diseno,1,1,1,0,1,0,1,0,1,0
325,comunicaciones,1,1,1,0,1,0,1,0,1,0
327,ingenieria,1,0,0,0,0,1,0,1,0,1
328,sistemas,1,0,1,0,0,0,0,0,1,0
329,sistemas,1,0,1,0,0,0,0,0,1,0
330,ingenieria,1,0,0,0,0,0,0,1,0,1
331,ingenieria,1,0,0,0,0,0,0,1,0,1
332,ingenieria,1,0,0,0,0,0,0,1,0,1
333,ingenieria,1,1,0,1,1,0,1,0,0,0
334,ingenieria,1,1,0,1,1,0,1,0,0,0
335,ingenieria,1,1,0,1,1,0,1,0,0,0
336,contabilidad,1,1,1,0,0,0,1,1,0,0
337,contabilidad,1,1,1,0,0,0,1,1,0,0
338,psicologia,1,1,0,0,1,0,0,1,0,0
339,sistemas,1,0,0,0,1,0,0,0,0,0
340,finanzas,1,0,1,0,1,0,0,1,0,1
341,ingenieria,1,1,0,0,0,1,0,0,0,0
342,contabilidad,1,0,1,0,0,0,0,1,0,1
343,finanzas,1,0,0,0,1,0,0,1,0,0
344,derecho,1,0,1,0,0,0,1,0,0,0
345,comunicaciones,1,1,0,0,1,0,1,1,1,0
346,ingenieria,1,0,0,1,1,1,0,0,0,0
347,psicologia,1,1,0,0,1,0,0,1,0,0
348,ingenieria,1,1,0,1,1,1,0,1,0,0
349,ingenieria,1,1,0,0,0,0,1,1,1,0
350,administracion,1,1,1,0,1,0,0,1,0,0
351,ingenieria,1,0,0,1,1,1,0,0,0,0
352,psicologia,1,1,0,0,1,1,0,0,0,0
353,ingenieria,1,0,0,1,1,1,1,0,0,0
354,ingenieria,1,0,0,0,0,1,0,1,0,1
355,psicologia,1,0,1,0,0,0,0,1,0,0
356,psicologia,1,0,1,1,1,1,1,0,0,0
357,contabilidad,1,0,0,0,1,0,1,0,0,1
358,mantenimiento,1,0,1,1,0,1,1,1,0,1
359,marketing,1,0,0,0,0,0,1,1,1,0
360,ingenieria,1,0,0,0,0,1,0,1,0,0
361,ingenieria,1,0,1,1,1,0,0,0,0,0
362,derecho,1,0,0,0,0,1,0,0,0,0
363,sistemas,1,1,1,0,1,0,1,0,0,0
364,ingenieria,1,1,1,1,1,1,1,0,0,1
365,ingenieria,1,0,0,0,0,0,1,0,0,0
366,marketing,1,1,1,1,1,1,0,1,0,1
367,marketing,1,1,1,0,0,0,0,0,0,0
368,sistemas,1,0,0,0,0,0,0,1,1,1
369,contabilidad,1,1,0,1,0,1,1,0,0,1
370,contabilidad,1,1,0,1,0,1,1,0,0,1
371,sistemas,1,0,1,0,0,0,0,0,0,0
372,marketing,1,0,0,0,1,0,0,1,1,0
373,sistemas,1,1,0,0,1,1,1,0,0,0
375,medicina,1,0,0,0,0,0,0,0,0,0
378,finanzas,1,0,0,0,0,0,1,1,0,0
379,ventas,1,0,0,0,1,1,0,0,0,1
380,mantenimiento,1,1,0,0,1,0,0,0,0,0
381,medicina,1,0,0,1,0,1,0,0,0,1
382,comercial,1,0,0,0,0,1,0,0,0,0
383,administracion,1,1,0,0,0,0,1,0,0,0
384,ingenieria,1,1,0,0,0,1,1,0,0,0
385,ingenieria,1,1,0,1,0,0,1,0,0,0
386,ingenieria,1,0,0,0,1,1,0,0,0,0
387,ingenieria,1,0,0,0,1,1,0,0,0,0
388,psicologia,1,0,0,1,1,0,0,1,0,0
389,ingenieria,1,0,1,0,1,1,0,1,0,0
390,administracion,1,1,0,0,0,1,1,0,1,0
391,administracion,1,1,1,1,0,1,0,1,0,0
392,finanzas,1,0,0,0,0,1,0,1,0,0
393,psicologia,1,1,0,0,0,1,1,0,1,0
394,ingenieria,1,1,0,1,0,1,0,1,0,0
395,diseno,1,0,1,0,0,0,1,0,1,0
396,sistemas,1,0,0,1,0,1,0,0,0,0
397,ingenieria,1,0,0,1,1,0,0,0,1,0
398,ingenieria,1,1,0,1,0,0,1,0,1,0
399,diseno,1,0,1,0,0,0,0,0,1,0
400,administracion,1,0,0,0,0,0,1,0,0,0
401,psicologia,1,1,0,0,0,0,0,0,0,0
402,psicologia,1,0,1,0,0,0,1,0,0,0
403,ingenieria,1,1,0,0,0,1,1,0,0,1
404,sistemas,1,0,1,1,1,0,0,0,1,1
405,marketing,1,0,1,0,0,0,0,0,0,0
406,sistemas,1,0,0,1,1,0,0,0,0,0
407,administracion,1,0,0,1,0,1,0,0,0,0
408,contabilidad,1,0,0,0,0,0,0,0,0,1
410,sistemas,1,0,0,1,1,0,0,1,0,0
412,ingenieria,1,1,1,1,0,0,1,0,0,0
413,contabilidad,1,0,0,0,1,0,1,0,0,0
414,finanzas,1,0,0,0,0,0,1,0,0,0
415,mantenimiento,1,1,1,1,0,1,0,1,0,0
416,psicologia,1,1,1,0,1,1,0,1,0,0
417,sistemas,1,0,0,1,0,0,0,0,0,0
418,ingenieria,1,0,0,1,0,1,0,1,0,0
419,sistemas,1,0,1,1,1,0,0,0,1,1
420,administracion,1,0,0,0,0,0,0,0,0,0
421,administracion,1,0,0,0,0,0,0,0,0,0
422,administracion,1,0,0,0,0,0,0,0,0,0
423,derecho,1,1,1,0,0,0,1,0,0,0
424,marketing,1,1,1,1,1,1,0,1,0,0
425,psicologia,1,0,1,1,1,1,0,1,0,1
426,psicologia,1,1,1,1,0,1,0,1,1,1
427,marketing,1,1,1,1,1,1,0,1,0,1
428,ingenieria,1,0,1,1,0,0,1,0,0,1
429,psicologia,1,0,1,0,1,0,0,1,0,0
430,contabilidad,1,0,0,0,0,0,1,0,0,0
431,finanzas,1,0,0,1,0,1,0,1,0,1
432,sistemas,1,0,1,1,1,0,0,1,0,0
435,ingenieria,1,0,0,0,0,0,1,0,0,0
436,ingenieria,1,0,0,1,0,1,0,1,0,0
437,ingenieria,1,0,1,0,1,1,0,1,0,0
438,ingenieria,1,0,0,1,0,0,0,1,1,1
439,contabilidad,1,0,0,1,1,0,0,1,0,0
440,contabilidad,1,0,0,1,0,1,1,0,0,0
441,administracion,1,0,0,1,0,1,0,1,0,1
442,contabilidad,1,1,0,0,0,0,0,1,0,0
444,contabilidad,1,0,0,0,0,0,0,0,0,0
445,psicologia,1,1,0,0,0,0,0,1,0,0
446,finanzas,1,1,0,0,0,0,1,1,0,0
447,ingenieria,1,0,0,1,0,1,0,1,0,0
448,administracion,1,1,0,0,0,0,0,1,0,0
449,ingenieria,1,0,1,1,1,0,1,0,0,0
450,marketing,1,0,0,0,1,0,0,0,1,0
451,ingenieria,1,0,0,1,0,1,0,1,1,0
452,ingenieria,1,0,0,1,0,1,0,1,1,0
453,ingenieria,1,0,0,1,0,1,0,1,1,0
454,marketing,1,1,0,0,0,0,0,0,1,1
455,marketing,1,1,0,0,0,0,0,0,1,1
458,comunicaciones,1,1,1,0,0,0,1,1,1,0
459,ingenieria,1,1,0,0,0,0,0,1,0,0
460,comunicaciones,1,0,1,0,0,0,0,1,0,0
461,psicologia,1,1,1,0,0,0,1,1,0,0
462,sistemas,1,1,0,1,0,0,0,0,1,0
465,psicologia,1,1,0,0,0,1,1,1,0,0
466,finanzas,1,1,1,0,0,0,0,1,0,1
467,ingenieria,1,0,0,1,0,0,0,1,0,1
468,mantenimiento,1,0,1,0,1,1,0,1,0,1
470,derecho,1,0,0,0,1,0,0,0,0,0
471,contabilidad,1,1,0,1,0,0,0,1,0,1
475,ingenieria,1,0,0,1,0,1,0,1,0,0
476,comunicaciones,1,0,0,0,0,0,0,0,1,0
477,comunicaciones,1,0,0,0,0,0,1,1,1,0
479,contabilidad,1,0,1,0,0,0,0,1,0,0
480,finanzas,1,0,0,0,0,0,0,1,0,0
481,administracion,1,0,0,0,0,0,0,0,0,0
482,ingenieria,1,0,0,1,0,1,0,1,0,1
483,mantenimiento,1,0,1,0,1,0,0,0,0,0
484,administracion,1,0,1,1,0,1,1,0,0,0
485,ingenieria,1,0,0,1,0,1,0,1,0,0
486,ingenieria,1,1,0,1,1,1,1,0,0,0
487,psicologia,1,1,1,0,0,0,0,1,0,0
488,sistemas,1,0,0,1,1,1,0,0,0,0
489,finanzas,1,0,1,0,0,0,1,0,0,1
490,finanzas,1,0,0,0,0,0,0,1,0,0
491,derecho,1,0,0,0,1,1,1,0,0,0
492,ingenieria,1,0,0,0,0,1,0,1,0,0
493,psicologia,1,0,0,0,0,1,0,0,0,0
494,marketing,1,0,0,1,0,1,0,1,0,0
495,marketing,1,0,0,0,0,0,0,1,1,1
496,comunicaciones,1,0,0,0,1,0,0,0,0,0
498,sistemas,1,1,1,1,1,0,1,1,0,0
499,administracion,1,0,1,1,0,0,1,1,1,0
500,contabilidad,1,0,1,0,1,0,0,1,0,0
501,ingenieria,1,0,1,0,1,1,1,1,0,1
502,sistemas,1,0,0,1,1,1,0,0,1,1
504,psicologia,1,0,1,0,0,0,0,1,0,0
505,ingenieria,1,1,1,1,1,1,1,1,0,0
506,marketing,1,0,0,0,1,0,1,0,1,0
507,ingenieria,1,0,1,1,0,1,1,0,0,0
508,marketing,1,0,0,0,1,0,1,0,1,0
509,mantenimiento,1,0,1,0,1,1,0,0,0,0
510,ingenieria,1,0,0,1,0,1,1,0,0,0
511,sistemas,1,1,0,1,1,0,0,1,0,0
